id,user_id,year,rating
1,1,2023,5.0
2,2,2023,2.0
3,3,2023,4.0
4,4,2023,
5,5,2023,4.0
6,6,2023,1.0
7,7,2023,
8,8,2023,2.0
9,9,2023,5.0
10,10,2023,5.0
11,11,2023,4.0
12,12,2023,2.0
13,13,2023,5.0
14,14,2023,5.0
15,15,2023,3.0
16,16,2023,5.0
17,17,2023,1.0
18,18,2023,1.0
19,19,2023,2.0
20,20,2023,2.0
21,21,2023,1.0
22,22,2023,4.0
23,23,2023,4.0
24,24,2023,3.0
25,25,2023,5.0
26,26,2023,3.0
27,27,2023,4.0
28,28,2023,3.0
29,29,2023,1.0
30,30,2023,5.0
31,31,2023,2.0
32,32,2023,1.0
33,33,2023,3.0
34,34,2023,
35,35,2023,4.0
36,36,2023,1.0
37,37,2023,
38,38,2023,3.0
39,39,2023,
40,40,2023,1.0
41,41,2023,4.0
42,42,2023,3.0
43,43,2023,3.0
44,44,2023,4.0
45,45,2023,5.0
46,46,2023,4.0
47,47,2023,
48,48,2023,
49,49,2023,4.0
50,50,2023,5.0
51,51,2023,5.0
52,52,2023,1.0
53,53,2023,4.0
54,54,2023,
55,55,2023,4.0
56,56,2023,
57,57,2023,2.0
58,58,2023,
59,59,2023,1.0
60,60,2023,4.0
61,61,2023,
62,62,2023,4.0
63,63,2023,4.0
64,64,2023,4.0
65,65,2023,2.0
66,66,2023,5.0
67,67,2023,3.0
68,68,2023,1.0
69,69,2023,1.0
70,70,2023,2.0
71,71,2023,4.0
72,72,2023,3.0
73,73,2023,4.0
74,74,2023,1.0
75,75,2023,3.0
76,76,2023,1.0
77,77,2023,1.0
78,78,2023,2.0
79,79,2023,1.0
80,80,2023,4.0
81,81,2023,1.0
82,82,2023,1.0
83,83,2023,
84,84,2023,
85,85,2023,1.0
86,86,2023,1.0
87,87,2023,3.0
88,88,2023,5.0
89,89,2023,3.0
90,90,2023,2.0
91,91,2023,1.0
92,92,2023,2.0
93,93,2023,
94,94,2023,3.0
95,95,2023,4.0
96,96,2023,3.0
97,97,2023,
98,98,2023,4.0
99,99,2023,
100,100,2023,2.0
101,101,2023,2.0
102,102,2023,3.0
103,103,2023,1.0
104,104,2023,5.0
105,105,2023,1.0
106,106,2023,
107,107,2023,2.0
108,108,2023,2.0
109,109,2023,2.0
110,110,2023,4.0
111,111,2023,1.0
112,112,2023,5.0
113,113,2023,1.0
114,114,2023,
115,115,2023,1.0
116,116,2023,3.0
117,117,2023,3.0
118,118,2023,2.0
119,119,2023,5.0
120,120,2023,3.0
121,121,2023,1.0
122,122,2023,4.0
123,123,2023,5.0
124,124,2023,2.0
125,125,2023,3.0
126,126,2023,1.0
127,127,2023,
128,128,2023,
129,129,2023,2.0
130,130,2023,
131,131,2023,
132,132,2023,4.0
133,133,2023,1.0
134,134,2023,1.0
135,135,2023,4.0
136,136,2023,5.0
137,137,2023,3.0
138,138,2023,5.0
139,139,2023,5.0
140,140,2023,
141,141,2023,1.0
142,142,2023,5.0
143,143,2023,3.0
144,144,2023,
145,145,2023,
146,146,2023,2.0
147,147,2023,2.0
148,148,2023,4.0
149,149,2023,
150,150,2023,2.0
151,151,2023,
152,152,2023,2.0
153,153,2023,2.0
154,154,2023,4.0
155,155,2023,
156,156,2023,2.0
157,157,2023,5.0
158,158,2023,1.0
159,159,2023,4.0
160,160,2023,2.0
161,161,2023,
162,162,2023,1.0
163,163,2023,1.0
164,164,2023,2.0
165,165,2023,5.0
166,166,2023,
167,167,2023,1.0
168,168,2023,1.0
169,169,2023,1.0
170,170,2023,2.0
171,171,2023,1.0
172,172,2023,
173,173,2023,5.0
174,174,2023,4.0
175,175,2023,4.0
176,176,2023,
177,177,2023,5.0
178,178,2023,
179,179,2023,5.0
180,180,2023,4.0
181,181,2023,3.0
182,182,2023,
183,183,2023,1.0
184,184,2023,2.0
185,185,2023,5.0
186,186,2023,1.0
187,187,2023,2.0
188,188,2023,2.0
189,189,2023,
190,190,2023,5.0
191,191,2023,2.0
192,192,2023,
193,193,2023,2.0
194,194,2023,3.0
195,195,2023,
196,196,2023,
197,197,2023,4.0
198,198,2023,1.0
199,199,2023,5.0
200,200,2023,4.0
201,201,2023,1.0
202,202,2023,4.0
203,203,2023,1.0
204,204,2023,5.0
205,205,2023,4.0
206,206,2023,4.0
207,207,2023,
208,208,2023,5.0
209,209,2023,2.0
210,210,2023,2.0
211,211,2023,1.0
212,212,2023,3.0
213,213,2023,1.0
214,214,2023,
215,215,2023,1.0
216,216,2023,
217,217,2023,1.0
218,218,2023,3.0
219,219,2023,2.0
220,220,2023,4.0
221,221,2023,2.0
222,222,2023,1.0
223,223,2023,3.0
224,224,2023,
225,225,2023,4.0
226,226,2023,4.0
227,227,2023,
228,228,2023,5.0
229,229,2023,2.0
230,230,2023,2.0
231,231,2023,4.0
232,232,2023,
233,233,2023,
234,234,2023,3.0
235,235,2023,3.0
236,236,2023,3.0
237,237,2023,4.0
238,238,2023,
239,239,2023,5.0
240,240,2023,5.0
241,241,2023,2.0
242,242,2023,4.0
243,243,2023,3.0
244,244,2023,4.0
245,245,2023,
246,246,2023,3.0
247,247,2023,1.0
248,248,2023,3.0
249,249,2023,3.0
250,250,2023,4.0
251,251,2023,2.0
252,252,2023,
253,253,2023,2.0
254,254,2023,3.0
255,255,2023,5.0
256,256,2023,5.0
257,257,2023,5.0
258,258,2023,1.0
259,259,2023,1.0
260,260,2023,4.0
261,261,2023,1.0
262,262,2023,2.0
263,263,2023,3.0
264,264,2023,4.0
265,265,2023,2.0
266,266,2023,1.0
267,267,2023,1.0
268,268,2023,1.0
269,269,2023,2.0
270,270,2023,3.0
271,271,2023,5.0
272,272,2023,5.0
273,273,2023,5.0
274,274,2023,
275,275,2023,1.0
276,276,2023,5.0
277,277,2023,2.0
278,278,2023,2.0
279,279,2023,5.0
280,280,2023,1.0
281,281,2023,3.0
282,282,2023,4.0
283,283,2023,
284,284,2023,3.0
285,285,2023,
286,286,2023,4.0
287,287,2023,
288,288,2023,
289,289,2023,1.0
290,290,2023,2.0
291,291,2023,5.0
292,292,2023,1.0
293,293,2023,3.0
294,294,2023,
295,295,2023,5.0
296,296,2023,1.0
297,297,2023,3.0
298,298,2023,
299,299,2023,2.0
300,300,2023,3.0
301,301,2023,
302,302,2023,5.0
303,303,2023,3.0
304,304,2023,4.0
305,305,2023,5.0
306,306,2023,
307,307,2023,2.0
308,308,2023,5.0
309,309,2023,5.0
310,310,2023,5.0
311,311,2023,5.0
312,312,2023,5.0
313,313,2023,2.0
314,314,2023,5.0
315,315,2023,
316,316,2023,
317,317,2023,3.0
318,318,2023,1.0
319,319,2023,1.0
320,320,2023,2.0
321,321,2023,3.0
322,322,2023,1.0
323,323,2023,4.0
324,324,2023,4.0
325,325,2023,2.0
326,326,2023,1.0
327,327,2023,3.0
328,328,2023,2.0
329,329,2023,
330,330,2023,5.0
331,331,2023,1.0
332,332,2023,4.0
333,333,2023,5.0
334,334,2023,4.0
335,335,2023,5.0
336,336,2023,3.0
337,337,2023,5.0
338,338,2023,2.0
339,339,2023,1.0
340,340,2023,4.0
341,341,2023,
342,342,2023,1.0
343,343,2023,5.0
344,344,2023,2.0
345,345,2023,
346,346,2023,3.0
347,347,2023,4.0
348,348,2023,3.0
349,349,2023,1.0
350,350,2023,1.0
351,351,2023,4.0
352,352,2023,4.0
353,353,2023,5.0
354,354,2023,2.0
355,355,2023,5.0
356,356,2023,2.0
357,357,2023,2.0
358,358,2023,1.0
359,359,2023,
360,360,2023,4.0
361,361,2023,3.0
362,362,2023,1.0
363,363,2023,3.0
364,364,2023,4.0
365,365,2023,
366,366,2023,5.0
367,367,2023,3.0
368,368,2023,5.0
369,369,2023,3.0
370,370,2023,
371,371,2023,
372,372,2023,5.0
373,373,2023,3.0
374,374,2023,
375,375,2023,
376,376,2023,2.0
377,377,2023,5.0
378,378,2023,1.0
379,379,2023,4.0
380,380,2023,3.0
381,381,2023,5.0
382,382,2023,
383,383,2023,5.0
384,384,2023,2.0
385,385,2023,2.0
386,386,2023,5.0
387,387,2023,5.0
388,388,2023,5.0
389,389,2023,
390,390,2023,2.0
391,391,2023,4.0
392,392,2023,3.0
393,393,2023,4.0
394,394,2023,
395,395,2023,1.0
396,396,2023,5.0
397,397,2023,2.0
398,398,2023,3.0
399,399,2023,4.0
400,400,2023,4.0
401,401,2023,2.0
402,402,2023,3.0
403,403,2023,4.0
404,404,2023,2.0
405,405,2023,
406,406,2023,3.0
407,407,2023,1.0
408,408,2023,1.0
409,409,2023,3.0
410,410,2023,2.0
411,411,2023,2.0
412,412,2023,2.0
413,413,2023,4.0
414,414,2023,
415,415,2023,3.0
416,416,2023,1.0
417,417,2023,
418,418,2023,1.0
419,419,2023,5.0
420,420,2023,3.0
421,421,2023,4.0
422,422,2023,2.0
423,423,2023,3.0
424,424,2023,2.0
425,425,2023,2.0
426,426,2023,5.0
427,427,2023,4.0
428,428,2023,1.0
429,429,2023,3.0
430,430,2023,2.0
431,431,2023,
432,432,2023,4.0
433,433,2023,
434,434,2023,1.0
435,435,2023,3.0
436,436,2023,2.0
437,437,2023,2.0
438,438,2023,5.0
439,439,2023,3.0
440,440,2023,
441,441,2023,2.0
442,442,2023,
443,443,2023,4.0
444,444,2023,5.0
445,445,2023,
446,446,2023,1.0
447,447,2023,2.0
448,448,2023,
449,449,2023,3.0
450,450,2023,3.0
451,451,2023,5.0
452,452,2023,4.0
453,453,2023,3.0
454,454,2023,3.0
455,455,2023,2.0
456,456,2023,2.0
457,457,2023,4.0
458,458,2023,
459,459,2023,2.0
460,460,2023,2.0
461,461,2023,3.0
462,462,2023,4.0
463,463,2023,
464,464,2023,
465,465,2023,2.0
466,466,2023,2.0
467,467,2023,4.0
468,468,2023,5.0
469,469,2023,
470,470,2023,4.0
471,471,2023,
472,472,2023,5.0
473,473,2023,4.0
474,474,2023,5.0
475,475,2023,4.0
476,476,2023,5.0
477,477,2023,
478,478,2023,2.0
479,479,2023,4.0
480,480,2023,5.0
481,481,2023,3.0
482,482,2023,2.0
483,483,2023,5.0
484,484,2023,4.0
485,485,2023,2.0
486,486,2023,2.0
487,487,2023,1.0
488,488,2023,2.0
489,489,2023,1.0
490,490,2023,4.0
491,491,2023,4.0
492,492,2023,2.0
493,493,2023,3.0
494,494,2023,
495,495,2023,4.0
496,496,2023,2.0
497,497,2023,2.0
498,498,2023,5.0
499,499,2023,4.0
500,500,2023,1.0
